Botswana,BWA,0,,,,0.065,0.157,0.308,0.602,1.122,2.903,3.431,3.386,3.345,3.305,3.263,4.29,5.28,6.25,6.15,6,8,11.5,15,18.5
Central African Republic,CAF,,,,,,0.006,0.014,0.028,0.041,0.053,0.079,0.129,0.152,0.223,0.268,0.311,0.376,1,1.8,2,2.2,3,3.5,4.03
Canada,CAN,0.57,0.916,1.185,2.379,4.164,6.76,15.072,24.897,36.186,51.3,60.2,61.593,64.2,65.956,71.66,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.12
Central Europe and the Baltics,CEB,,,0.149,0.389,0.622,1.068,1.79,3.512,4.959,7.038,10.215,18.194,22.513,29.15,34.647,40.659,45.114,50.483,54.87,58.35,58.857,61.51,63.284,66.929
Switzerland,CHE,1.18,1.752,2.167,2.72,3.552,4.55,15.1,24.8,34,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.193,85.2,86.34,87
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,0.037,0.072,0.141,0.347,0.683,1.057,1.662,4.103,16.6,19.1,22.1,25.474,28.178,31.175,34.498,35.9,37.3,41.56,45,52.25,61.418,66.5,72.35
China,CHN,,,0,0.001,0.005,0.013,0.032,0.169,0.708,1.776,2.64,4.596,6.2,7.3,8.523,10.523,16,22.6,28.9,34.3,38.3,42.3,45.8,49.3
Cote d'Ivoire,CIV,,,,,0,0.008,0.019,0.061,0.119,0.231,0.396,0.498,0.759,0.849,1.039,1.525,1.8,1.9,2,2.7,2.9,5,8.4,14.6
Cameroon,CMR,,,,,,,0.007,0.013,0.129,0.252,0.277,0.361,0.588,0.976,1.403,2.029,2.93,3.4,3.84,4.3,5,5.699,6.4,11
"Congo, Rep.",COG,,,,,,0.004,0.003,0.003,0.017,0.026,0.032,0.157,0.46,1.078,1.463,2.008,2.76,4.288,4.5,5,5.6,6.107,6.6,7.11
Colombia,COL,,,,0.107,0.188,0.33,0.551,1.126,1.698,2.208,2.854,4.6,7.389,9.119,11.007,15.342,21.8,25.6,30,36.5,40.351,48.98,51.7,52.57
Comoros,COM,,,,,,,0,0.038,0.148,0.272,0.443,0.555,0.848,1.327,2,2.2,2.5,3,3.5,5.1,5.5,5.975,6.5,6.98
Cabo Verde,CPV,,,,,,,0.241,0.473,1.16,1.822,2.685,3.519,4.325,5.319,6.074,6.809,8.283,14,21,30,32,34.74,37.5,40.26
Costa Rica,CRI,,0.001,0.082,0.28,0.417,0.841,1.64,2.666,3.904,5.8,9.559,19.895,20.334,20.792,22.07,25.1,28.4,32.29,34.33,36.5,39.212,47.5,45.96,49.41
Caribbean small states,CSS,,,,,0.194,0.554,0.905,1.944,3.379,4.941,8.358,11.822,14.976,16.891,19.489,22.345,24.494,27.724,31.927,35.819,42.689,43.261,46.294,49.274
Cuba,CUB,,,,,0,0.032,0.068,0.227,0.315,0.541,1.08,3.771,5.241,8.408,9.738,11.16,11.69,12.94,14.33,15.9,16.017,21.2,27.93,30
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,0,0,3.949,,,,,,,,,,38.034,44.5,52,61,64.5,66,69.466,74.127,74.1,74.1
Cyprus,CYP,,0.05,0.056,0.111,0.41,0.673,4.378,8.891,11.342,15.255,18.819,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.86,60.69,65.455,69.33
Czech Republic,CZE,,,0.581,1.259,1.454,1.94,2.916,3.896,6.833,9.781,14.697,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43,74.11,79.71
Germany,DEU,0.25,0.435,0.464,0.923,1.838,3.055,6.711,9.878,20.846,30.216,31.651,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.27,82.35,84.17,86.19
Djibouti,DJI,,,,,0.016,0.031,0.083,0.095,0.106,0.195,0.344,0.487,0.626,0.781,0.954,1.27,1.62,2.26,4,6.5,7,8.267,9.5,10.71
Dominica,DMA,,,,,0.549,1.166,,2.925,2.932,8.815,13.245,18.425,23.62,30.32,38.544,39.398,40.274,41.16,42.02,47.45,51.314,55.177,59,62.86
Denmark,DNK,0.194,0.387,0.578,1.344,3.826,5.715,11.382,22.669,30.592,39.172,42.958,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81,92.26,94.63,95.99
Dominican Republic,DOM,,,,,0.017,0.075,0.143,0.234,1.105,3.705,4.429,6.824,7.898,8.866,11.483,14.845,17.66,20.82,27.72,31.4,38,41.2,45.9,49.58
Algeria,DZA,,,,0,0.002,0.002,0.01,0.02,0.2,0.492,0.646,1.592,2.195,4.634,5.844,7.376,9.451,10.18,11.23,12.5,14,15.228,16.5,18.09
East Asia & Pacific (developing only),EAP,,,0.001,0.004,0.013,0.034,0.094,0.324,0.853,1.897,2.779,4.405,5.762,6.885,8.319,10.174,14.382,19.259,23.768,28.956,32.384,36.109,39.393,42.132
East Asia & Pacific (all income levels),EAS,,,0.079,0.117,0.21,0.465,1.08,1.883,3.406,5.593,7.252,8.994,10.547,12.597,14.666,16.618,20.766,25.253,29.512,34.229,37.364,40.747,44.413,46.891
Europe & Central Asia (developing only),ECA,,,,0.024,0.048,0.134,0.286,0.587,1.156,1.965,2.837,5.548,6.645,9.43,10.831,13.298,17.961,22.253,27.194,31.991,37.197,41.565,44.493,48.182
Europe & Central Asia (all income levels),ECS,,0.263,0.318,0.565,1.024,1.843,3.361,5.437,9.245,13.185,16.406,23.059,28.364,32.36,35.226,38.082,43.673,47.357,50.725,56.246,59.226,63.898,66.344,69.203
Ecuador,ECU,,0.005,0.016,0.035,0.044,0.086,0.11,0.125,0.823,1.462,2.67,4.261,4.46,4.834,5.994,7.2,10.8,18.8,24.6,29.03,31.367,35.135,40.354,43
"Egypt, Arab Rep.",EGY,,,0.001,0.006,0.031,0.061,0.09,0.148,0.29,0.641,0.839,2.72,4.038,11.92,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,31.7
Euro area,EMU,0.17,0.326,0.469,0.848,1.702,2.881,5.109,8.018,15.238,22.519,27.345,35.186,42.086,47.473,51.244,54.919,61.365,64.824,67.115,71.022,72.059,74.082,75.811,78.3
Eritrea,ERI,,,0,0,0,0,0.009,0.009,0.025,0.137,0.158,0.227,,,,,0.41,0.47,0.54,0.61,0.7,0.8,0.9,0.99
Spain,ESP,0.026,0.077,0.128,0.28,0.381,1.332,2.803,4.362,7.085,13.625,18.149,20.39,39.93,44.01,47.88,50.37,55.11,59.6,62.4,65.8,67.6,69.81,71.635,76.19
Estonia,EST,,0.065,0.301,1.16,2.779,3.525,5.706,10.796,14.501,28.577,31.527,41.52,45.32,53.2,61.45,63.51,66.19,70.58,72.5,74.1,76.5,78.39,79.4,84.24
Ethiopia,ETH,,,,,0,0.002,0.005,0.01,0.013,0.015,0.037,0.072,0.106,0.155,0.22,0.311,0.37,0.45,0.54,0.75,1.1,1.483,1.9,2.9
European Union,EUU,0.172,0.31,0.434,0.827,1.582,2.806,5.12,8.422,14.583,20.557,25.3,35.14,41.823,46.832,50.972,54.546,60.295,64.189,67.215,70.631,71.558,73.699,75.536,78.102
Fragile and conflict affected situations,FCS,,,,,,,,0.074,0.125,0.267,0.257,0.649,0.945,1.354,1.868,2.434,3.591,3.641,4.467,6.704,7.455,8.602,10.025,11.531
Finland,FIN,1.397,1.887,2.568,4.915,13.9,16.78,19.459,25.453,32.295,37.248,43.105,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,86.89,88.71,89.88,91.514,92.38
Fiji,FJI,,,0.007,0.008,0.009,0.064,0.223,0.633,0.942,1.497,1.858,6.153,6.725,7.413,8.454,9.6,10.898,13,17,20,28,33.742,37.1,41.8
France,FRA,0.14,0.279,0.591,0.9,1.638,2.584,4.255,6.32,9.125,14.308,26.326,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.82,81.44,81.92,83.75
Faeroe Islands,FRO,,,,,0,2.319,4.601,11.338,22.298,32.916,43.247,53.299,58.913,66.534,67.903,69.359,75.98,75.57,75.18,75.2,80.732,85.335,90,94.66
"Micronesia, Fed. Sts.",FSM,,,,,,0.278,0.571,1.859,2.798,3.735,4.661,5.57,9.233,11.018,11.881,12.75,13.621,14.49,15.35,20,22.8,25.974,27.8,29.65
Gabon,GAB,,,,,,0,0.048,0.17,0.249,1.216,1.348,1.94,2.66,2.979,4.893,5.489,5.767,6.21,6.7,7.23,8,8.617,9.2,9.81
United Kingdom,GBR,0.174,0.261,0.52,1.037,1.895,4.124,7.385,13.67,21.294,26.822,33.481,56.48,64.82,65.61,70,68.82,75.09,78.39,83.56,85,85.38,87.48,89.844,91.61
Georgia,GEO,,,,,0.012,0.04,0.061,0.103,0.416,0.485,0.992,1.588,2.559,3.886,6.079,7.527,8.26,10.01,20.07,26.9,31.52,36.94,43.3,48.9
Ghana,GHA,,,,,0,0.006,0.028,0.032,0.105,0.154,0.2,0.83,1.193,1.717,1.831,2.723,3.85,4.27,5.44,7.8,9,10.6,12.3,18.9
Guinea,GIN,,,,0,0.001,0.002,0.004,0.006,0.061,0.095,0.176,0.402,0.451,0.509,0.542,0.637,0.78,0.92,0.94,1,1.3,1.49,1.6,1.72
"Gambia, The",GMB,,,,,0.009,0.036,0.051,0.206,0.716,0.922,1.337,1.797,2.437,3.308,3.799,5.238,6.205,6.88,7.63,9.2,10.87,12.449,14,15.56
Guinea-Bissau,GNB,,,,,,,0.016,0.024,0.118,0.23,0.3,1.023,1.354,1.808,1.901,2.057,2.206,2.355,2.303,2.45,2.672,2.894,3.1,3.32
Equatorial Guinea,GNQ,,,,,,,0.041,0.094,0.097,0.132,0.165,0.321,0.521,0.844,1.15,1.279,1.557,1.82,2.13,6,11.5,13.943,16.4,18.86
Greece,GRC,0.049,0.048,0.191,0.378,0.75,1.395,1.85,3.222,6.877,9.139,10.935,14.67,17.8,21.42,24,32.25,35.88,38.2,42.4,44.4,51.65,55.07,59.866,63.21
Grenada,GRD,0,0,0,0,0,0.298,0.991,1.485,2.473,4.064,5.128,14.759,18.645,19.571,20.488,21.396,22.29,23.18,24.05,27,30,32,35,37.38
Greenland,GRL,,,,0.065,0.054,1.797,7.955,14.654,21.603,31.748,35.464,44.155,54.534,56.099,57.703,59.362,61.07,62.82,62.83,63,64,64.896,65.8,66.7
Guatemala,GTM,,,,,0.003,0.02,0.095,0.467,0.593,0.712,1.738,3.392,4.549,5.1,5.7,6.5,7.3,8.3,9.3,10.5,12.3,16,19.7,23.4
Guam,GUM,,,,0.348,0.66,1.356,2.345,4.501,8.497,16.113,25.38,31.192,33.717,36.162,38.56,43.851,46.15,48.419,50.642,54.04,57.7,61.534,65.4,69.27
Guyana,GUY,,,,,,0.066,0.132,0.264,3.966,6.611,13.207,,,,,,13.8,18.2,23.9,29.9,31,33,35,37.35
High income,HIC,0.462,0.594,0.831,1.668,3.079,5.617,8.869,13.364,19.362,26.101,31.418,38.615,43.146,48.16,51.789,54.54,60.095,62.279,63.882,67.574,68.928,74.213,78.141,80.608
"Hong Kong SAR, China",HKG,0.121,0.85,1.335,2.784,3.219,4.749,10.519,14.546,21.231,27.828,38.671,43.082,52.2,56.4,56.9,60.8,64.8,66.7,69.4,72,72.2,72.9,74.2,74.56
Honduras,HND,,,,,0.037,0.044,0.171,0.301,0.574,1.204,1.415,2.597,4.8,5.6,6.5,7.8,9.4,9.6,9.8,11.09,15.9,18.12,17.8,19.08
Heavily indebted poor countries (HIPC),HPC,,,,,,0.009,0.024,0.044,0.106,0.173,0.258,0.395,0.604,0.915,1.213,1.558,2.427,2.527,3.153,4.93,5.389,6.38,7.332,8.865
Croatia,HRV,,,0.097,0.268,0.514,0.859,1.73,3.273,4.405,6.645,11.559,17.76,22.75,30.91,33.14,37.98,41.44,44.24,50.58,56.55,57.79,61.94,66.748,68.57
Haiti,HTI,,,,,,0.007,,0.024,0.071,0.231,0.341,0.893,1.647,5.401,6.376,6.796,7.2,7.6,8.1,8.37,9,9.8,10.6,11.4
Hungary,HUN,0.003,0.048,0.193,0.484,0.677,0.969,1.942,3.895,5.858,7,14.529,16.67,21.63,27.74,38.97,47.06,53.3,61,62,65,68.02,70.58,72.644,76.13
Indonesia,IDN,,,,0.001,0.026,0.057,0.195,0.255,0.444,0.926,2.019,2.134,2.387,2.6,3.602,4.765,5.786,7.917,6.92,10.92,12.28,14.52,14.94,17.14
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,,0,0,0.001,0.026,0.046,0.071,0.139,0.273,0.528,0.66,1.538,1.686,1.976,2.388,2.805,3.95,4.38,5.12,7.5,10.07,12.58,15.1,18
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,0.057,0.17,0.281,0.558,1.108,2.199,4.088,8.096,10.934,17.85,23.139,25.85,34.31,36.99,41.61,54.82,61.158,65.34,67.38,69.85,74.89,76.92,78.248,79.69
"Iran, Islamic Rep.",IRN,,,,0,0.004,0.016,0.047,0.1,0.379,0.934,1.484,4.626,6.934,7.49,8.1,8.76,9.47,12.02,13.8,15.9,19,22.73,29.95,39.35
Iraq,IRQ,,,,,,,,,,,0.1,0.5,0.6,0.9,0.9,0.952,0.93,1,1.06,2.5,5,7.1,9.2,11.3
Iceland,ISL,0.505,1.539,2.668,6.795,11.216,14.806,27.479,36.264,41.295,44.471,49.393,79.12,83.14,83.88,87,89.51,90.6,91,93,93.39,94.82,96.21,96.547,98.16
Israel,ISR,0.215,0.311,0.399,0.577,0.93,2.168,4.399,10.307,13.436,20.874,17.379,17.765,19.593,22.77,25.194,27.881,48.128,59.39,63.12,67.5,68.874,70.8,70.8,71.45
Italy,ITA,0.035,0.07,0.122,0.192,0.524,1.023,2.277,4.559,14.378,23.111,27.222,28.04,29.04,33.24,35,37.99,40.79,44.53,48.83,53.68,54.39,55.83,58.459,61.96
Jamaica,JAM,,,,0.037,0.109,0.591,0.798,1.979,2.356,3.116,3.863,6.1,7.8,10,12.8,16.4,21.1,23.6,24.3,27.67,37.439,33.79,37.1,40.5
Jordan,JOR,,,,,0.023,0.045,0.599,1.306,2.527,2.623,4.706,6.026,8.466,11.659,12.933,13.867,20,23,26,27.2,34.9,37,41,44
Japan,JPN,0.04,0.097,0.401,0.8,1.594,4.373,9.163,13.414,21.391,29.991,38.532,46.594,48.435,62.394,66.921,68.685,74.3,75.4,78,78.21,79.054,79.496,89.71,90.58
Kazakhstan,KAZ,,,,0.001,0.011,0.032,0.065,0.131,0.464,0.669,1.006,1.675,2,2.65,2.962,3.268,4.02,11,18.2,31.6,50.6,53.316,54,54.89
Kenya,KEN,,,,,0.001,0.009,0.034,0.05,0.114,0.318,0.62,1.208,2.942,3.024,3.102,7.534,7.95,8.67,10.04,14,28,32.1,39,43.4
Kyrgyz Republic,KGZ,,,,,,,,0.073,0.205,1.041,3.003,2.999,3.909,5.09,10.534,12.307,14.03,15.7,16,16.3,17.5,19.8,23,28.3
Cambodia,KHM,,,,,,,0.006,0.016,0.032,0.047,0.077,0.227,0.261,0.3,0.317,0.468,0.49,0.51,0.53,1.26,3.1,4.94,6.8,9
Kiribati,KIR,,,,,,,,0.617,1.212,1.785,2.337,2.5,3,3.5,4,4.5,6,7,8.97,9.07,10,10.747,11.5,12.25
St. Kitts and Nevis,KNA,,,,,,1.946,2.259,3.344,4.4,5.863,7.715,21.152,22.97,24.738,34,38.5,43.5,49.2,55.7,63,63.2,64,64.6,65.4
"Korea, Rep.",KOR,0.046,0.098,0.25,0.311,0.82,1.624,3.601,6.782,23.552,44.7,56.6,59.4,65.5,72.7,73.5,78.1,78.8,81,81.6,83.7,83.759,84.07,84.77,84.33
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,,,0.091,0.147,0.203,0.856,2.175,3.052,4.756,6.731,8.552,10.249,22.403,22.927,25.926,28.791,34.8,42,50.8,61.4,65.769,70.45,75.46,78.7
Latin America & Caribbean (developing only),LAC,,0.014,0.027,0.046,0.099,0.298,0.601,1.174,1.728,3.097,4.721,8.326,10.777,13.976,16.116,20.422,23.104,25.797,30.112,33.138,37.682,41.048,43.937,47.466
Lao PDR,LAO,,,,,,,,0.01,0.038,0.111,0.182,0.268,0.334,0.361,0.85,1.17,1.64,3.55,6,7,9,10.748,12.5,14.26
Lebanon,LBN,,,,,0.072,0.14,1.241,2.722,5.377,7.953,6.783,7,8,9,10.14,15,18.74,22.53,30.14,43.68,52,61.25,70.5,74.7
Liberia,LBR,,,,,,,0.004,0.004,0.011,0.018,0.034,0.033,0.032,0.031,,,0.551,0.53,2,2.3,2.5,2.6,3.2,5.41
Libya,LBY,,,,,,,,,0.134,0.187,0.367,2.244,2.815,3.533,3.918,4.301,4.722,9,10.8,14,14,,16.5,17.76
St. Lucia,LCA,,,,,0.306,0.67,0.992,1.305,1.932,5.09,8.182,14.642,20.982,21.395,21.568,24.5,27.9,32,36,43.3,44,45.9,46.2,51
Latin America & Caribbean (all income levels),LCN,,0.014,0.03,0.05,0.11,0.309,0.61,1.23,2.052,3.904,5.651,8.887,11.287,14.402,16.63,20.753,23.703,26.5,31.034,34.71,39.35,43.353,46.544,50.153
Least developed countries: UN classification,LDC,,,,,,,0.009,0.021,0.057,0.099,0.145,0.236,0.356,0.555,0.784,1.127,1.956,2.185,2.793,4.471,5.063,5.937,7.146,8.636
Low income,LIC,,,,,,0.003,0.011,0.026,0.065,0.104,0.151,0.323,0.507,0.687,0.953,1.206,1.404,1.904,2.375,3.288,3.724,4.405,5.608,6.291
Liechtenstein,LIE,,,,,,,,,,36.515,45.117,59.471,58.81,64.007,63.371,64.214,65.08,70,75,80,85,89.408,93.8,95.21
Sri Lanka,LKA,,,,0.003,0.005,0.054,0.162,0.296,0.348,0.647,0.794,1.05,1.459,1.446,1.792,2.538,3.88,5.8,8.78,12,15,18.285,21.9,25.8
Lower middle income,LMC,,,,0.002,0.022,0.039,0.074,0.159,0.274,0.552,0.865,1.591,2.105,2.915,3.675,4.64,5.869,7.347,8.675,11.808,14.425,17.154,19.542,22.555
Low & middle income,LMY,,,,0.011,0.033,0.071,0.144,0.336,0.68,1.378,1.96,3.381,4.372,5.552,6.587,8.157,10.598,13.456,16.259,19.721,22.716,25.625,28.267,31.137
Lesotho,LSO,,,,,,0.003,0.006,0.011,0.054,0.212,0.261,1.084,1.532,2.176,2.58,2.98,3.445,3.58,3.72,3.86,4.225,4.59,5,11
Lithuania,LTU,,,,,,0.277,0.978,1.972,2.923,6.427,7.179,17.69,25.91,31.23,36.22,43.9,49.9,55.22,59.76,62.12,63.64,67.23,68.453,72.13
Luxembourg,LUX,,0.153,0.302,0.496,1.591,5.552,7.143,11.746,17.388,22.887,36.163,39.84,54.55,65.88,70,72.51,78.92,82.23,87.31,90.62,90.03,91.95,93.777,94.67
Latvia,LVA,,,,,,0.813,2.053,3.315,4.387,6.319,7.219,21.94,26.98,38.58,46,53.63,59.17,63.41,66.84,68.42,69.75,73.12,75.234,75.83
"Macao SAR, China",MAC,,,,0.037,0.28,0.727,2.364,7.003,9.212,13.609,22.521,25.172,25.742,31.484,34.863,46.4,47.327,49.24,54,55.198,60.204,61.31,65.8,69.78
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,,,,,0.004,0.006,0.022,0.142,0.176,0.694,1.371,2.373,3.353,11.608,15.084,19.771,21.5,33.1,41.3,52,46.107,55.416,56,56.8
Monaco,MCO,,,,,,,,,,42.185,46.646,48.047,49.491,52.49,55.465,61.476,64.378,67.25,70.1,75,80.3,87,90.7,92.4
Moldova,MDA,,,,0.001,0.003,0.005,0.028,0.261,0.601,1.283,1.488,3.787,7.408,10.629,14.63,19.621,20.45,23.39,27.5,32.3,38,43.37,45,46.6
Madagascar,MDG,,,,,,0.004,0.014,0.063,0.169,0.196,0.223,0.34,0.423,0.525,0.568,0.608,0.65,1.65,1.63,1.7,1.9,2.3,3,3.7
Maldives,MDV,0,0,0,0,0,0.227,0.309,0.57,1.12,2.204,3.617,5.348,5.977,6.588,6.87,11.036,16.3,23.2,24.8,26.53,34,38.93,44.1,49.28
Middle East & North Africa (all income levels),MEA,,,,,0.037,0.084,0.228,0.487,0.919,1.693,2.077,3.757,5.129,8.351,9.753,11.792,15.041,18.737,21.598,24.853,27.697,31.27,34.67,38.261
Mexico,MEX,0.006,0.017,0.028,0.043,0.103,0.2,0.627,1.266,1.857,5.081,7.038,11.9,12.9,14.1,17.21,19.52,20.81,21.71,26.34,31.05,37.176,39.75,43.46,44.39
Marshall Islands,MHL,0,0,0,0,0,0.037,,,0.966,1.534,1.707,2.335,2.57,3.6,3.879,3.796,3.95,4.6,5.6,7,10,12.5,14,16.8
Middle income,MIC,,,0.005,0.012,0.034,0.076,0.155,0.363,0.735,1.499,2.134,3.679,4.752,6.036,7.15,8.852,11.556,14.686,17.759,21.508,24.81,28,30.778,34.052
"Macedonia, FYR",MKD,,,,,0.041,0.076,0.504,1.003,1.497,2.486,3.468,17.33,19.07,24.44,26.45,28.62,36.3,46.04,51.77,51.9,56.7,57.45,65.24,68.06
Mali,MLI,,,,,,0.002,0.01,0.02,0.061,0.143,0.186,0.227,0.31,0.433,0.507,0.73,0.81,1.57,1.8,2,2.2,2.8,3.5,7
Malta,MLT,,,,,0.225,1.052,3.921,6.501,7.76,13.114,17.878,28.92,31.64,34.62,41.24,40.41,46.9,50.08,58.86,63,68.02,68.2,68.914,73.17
Myanmar,MMR,,,,,,,,,0,,0,0,0.024,0.024,0.065,0.182,0.217,0.22,0.22,0.25,0.98,1.069,1.6,2.1
Middle East & North Africa (developing only),MNA,,,,0.003,0.013,0.026,0.074,0.158,0.417,0.842,1.141,2.817,4.05,7.417,8.539,9.912,11.848,14.967,17.671,20.619,22.767,25.793,28.97,32.662
Montenegro,MNE,,,,,,,,,,,,,,25.35,27.1,28.9,30.8,32.9,35.1,37.5,35.612,56.839,60.31,61
Mongolia,MNG,,,,,0.009,0.018,0.113,0.146,0.508,1.256,1.653,2.04,,,,,9,9.8,10,10.2,12.5,16.4,20,27
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,,,
